run_id,agent_id,timestamp,task_category,user_query,query_length_tokens,prompt_complexity_score,domain,planner_type,model_name,memory_enabled,memory_tokens_used,tool_count_available,selected_tools,reasoning_steps,tool_calls_made,latency_seconds,input_tokens,output_tokens,total_tokens,estimated_cost_usd,retrieval_hits,retrieval_quality_score,context_relevance_score,hallucination_risk_score,final_success,failure_type,failure_reason,answer_quality_score,user_satisfaction_score
run_0000000,agent_034,2026-02-23 01:52:16,extraction,Extract the structured fields from these general records,83,3,general,ReAct,gpt-4o-mini,False,0,4,vector_search;rag_retrieve;api_call,4,7,1.15,1347,44,1391,0.000228,5.0,0.7523,0.6432,0.4261,True,Success,completed within budget,0.8072,4.0
run_0000001,agent_044,2026-01-16 04:13:02,code_generation,Write and debug a finance script for this task,43,4,finance,ReAct,gemini-flash,False,0,15,calendar,10,7,1.68,340,2070,2410,0.000646,0.0,,0.747,0.5977,True,Success,resolved on first attempt,0.4223,3.0
run_0000002,agent_010,2026-02-08 06:09:07,research_qa,What does the latest ecommerce research say about this question?,99,7,ecommerce,ReAct,gemini-flash,False,0,35,calculator;vector_search;email_send,8,5,2.74,2666,42,2708,0.000213,13.0,0.6091,0.6405,0.5782,False,Timeout,run cancelled at the latency ceiling,0.2451,2.0
run_0000003,agent_008,2026-01-19 00:34:17,planning,Draft a step-by-step plan for this finance objective,17,6,finance,Tree-of-Thought,gpt-4o,True,135,20,calculator;calendar;chart_gen;web_search;vector_search;email_send,6,5,2.29,2203,60,2263,0.006108,9.0,0.7463,0.7323,0.3258,True,Success,resolved on first attempt,0.7936,4.0
run_0000004,agent_018,2026-03-26 07:59:44,customer_support,Help resolve this general customer issue end to end,54,7,general,Plan-and-Execute,claude-sonnet,True,969,27,chart_gen;rag_retrieve;file_reader;crm_lookup;web_search;calculator,6,5,1.75,2479,54,2533,0.008247,7.0,0.472,0.6268,0.5372,True,Success,resolved on first attempt,0.4636,3.0
run_0000005,agent_026,2026-01-11 00:53:47,data_analysis,Analyze the healthcare data and summarize the main trends,41,6,healthcare,ReAct,qwen2.5-7b,False,0,39,calendar;code_exec;crm_lookup;file_reader;rag_retrieve;email_send,8,8,1.85,1518,88,1606,0.000321,6.0,0.6329,0.7616,0.615,False,Retrieval Failure,no relevant documents surfaced,0.2366,2.0
run_0000006,agent_017,2026-03-27 09:02:56,summarization,Summarize these tech_support documents into a short brief,65,6,tech_support,Single-shot,gpt-4o-mini,False,0,37,calendar,8,5,0.85,361,108,469,0.000119,0.0,,0.3546,0.624,True,Success,goal satisfied,0.6625,4.0
run_0000007,agent_045,2026-02-18 20:01:43,multi_step_workflow,Run the full ecommerce workflow across the connected tools,20,3,ecommerce,Plan-and-Execute,gpt-4o-mini,False,0,14,calendar;vector_search;web_search;chart_gen,3,2,1.29,1354,20,1374,0.000215,6.0,0.8384,0.7073,0.3393,True,Success,completed within budget,0.6347,3.0
run_0000008,agent_018,2026-01-02 07:49:09,summarization,Summarize these travel documents into a short brief,63,7,travel,ReAct,gpt-4o-mini,True,714,28,web_search;crm_lookup;sql_query;email_send;calculator,6,1,0.87,1003,64,1067,0.000189,0.0,,0.5904,0.6147,True,Success,goal satisfied,0.4558,3.0
run_0000009,agent_010,2026-03-02 05:37:33,code_generation,Write and debug a healthcare script for this task,94,8,healthcare,Reflexion,gpt-4o-mini,False,0,24,code_exec;web_search;email_send,13,11,3.69,1498,112,1610,0.000292,6.0,0.3446,0.1371,0.9102,False,Tool Failure,external tool raised an exception,0.0525,2.0
run_0000010,agent_001,2026-01-13 19:23:04,research_qa,What does the latest travel research say about this question?,24,4,travel,ReAct,claude-sonnet,False,0,16,crm_lookup;code_exec,3,1,1.04,327,65,392,0.001956,0.0,,0.4562,0.5107,False,Hallucination,cited a source that does not exist,0.2037,2.0
run_0000011,agent_017,2026-03-02 13:15:16,research_qa,What does the latest ecommerce research say about this question?,18,5,ecommerce,Plan-and-Execute,gpt-4o-mini,True,723,29,rag_retrieve;calculator;sql_query;vector_search,7,7,2.15,1869,55,1924,0.000313,4.0,0.5072,0.5267,0.6352,False,Tool Failure,selected tool timed out mid-call,0.3586,3.0
run_0000012,agent_016,2026-01-01 02:16:35,multi_step_workflow,Run the full ecommerce workflow across the connected tools,60,7,ecommerce,Reflexion,gemini-flash,True,869,33,code_exec,7,4,1.3,1347,120,1467,0.000137,0.0,,0.4656,0.5154,True,Success,resolved on first attempt,0.7727,4.0
run_0000013,agent_023,2026-03-17 16:52:27,code_generation,Write and debug a education script for this task,91,4,education,Plan-and-Execute,gemini-flash,False,0,31,chart_gen,6,6,0.84,401,93,494,5.8e-05,0.0,,0.5386,0.5468,False,Hallucination,asserted an unsupported fact,0.3019,3.0
run_0000014,agent_048,2026-03-08 22:00:41,planning,Draft a step-by-step plan for this travel objective,119,6,travel,Plan-and-Execute,gemini-flash,True,66,19,web_search;api_call;calendar;crm_lookup;vector_search,13,8,3.04,1138,337,1475,0.000186,4.0,0.6089,0.7434,0.6111,True,Success,goal satisfied,0.4471,4.0
run_0000015,agent_040,2026-01-17 15:00:14,summarization,Summarize these tech_support documents into a short brief,65,3,tech_support,ReAct,gpt-4o,True,423,8,web_search;vector_search;calculator;crm_lookup,5,2,1.24,2044,85,2129,0.00596,7.0,0.6793,0.8232,0.3142,True,Success,resolved on first attempt,0.557,3.0
run_0000016,agent_010,2026-02-14 16:51:17,customer_support,Help resolve this legal customer issue end to end,124,3,legal,Plan-and-Execute,gpt-4o-mini,False,0,7,calculator;crm_lookup;sql_query;chart_gen,6,6,3.09,442,91,533,0.000121,0.0,,0.5214,0.3561,True,Success,resolved on first attempt,0.5905,4.0
run_0000017,agent_002,2026-01-13 08:08:24,multi_step_workflow,Run the full tech_support workflow across the connected tools,36,4,tech_support,ReAct,qwen2.5-7b,True,236,23,web_search;code_exec;chart_gen;api_call;calculator,6,4,1.19,1370,44,1414,0.000283,4.0,0.3198,0.3299,0.424,True,Success,resolved on first attempt,0.3939,4.0
run_0000018,agent_038,2026-01-20 15:59:50,planning,Draft a step-by-step plan for this tech_support objective,110,6,tech_support,ReAct,gpt-4o-mini,True,92,36,chart_gen;email_send,5,3,1.17,492,42,534,9.9e-05,0.0,,0.5859,0.534,True,Success,resolved on first attempt,0.4716,3.0
run_0000019,agent_009,2026-01-16 06:23:55,code_generation,Write and debug a tech_support script for this task,55,5,tech_support,Reflexion,gemini-flash,True,327,24,crm_lookup;sql_query;vector_search,5,8,1.08,1774,92,1866,0.000161,5.0,0.6799,0.7126,0.451,True,Success,goal satisfied,0.4932,4.0
run_0000020,agent_038,2026-03-16 15:00:14,research_qa,What does the latest finance research say about this question?,93,6,finance,Reflexion,gpt-4o-mini,True,499,3,calendar;vector_search,4,2,2.01,1811,207,2018,0.000396,6.0,0.4985,,0.4013,False,Hallucination,cited a source that does not exist,0.0,2.0
run_0000021,agent_035,2026-02-23 02:47:03,research_qa,What does the latest legal research say about this question?,56,4,legal,Single-shot,qwen2.5-7b,True,171,15,,3,0,1.81,531,38,569,0.000114,0.0,,0.5821,0.5322,True,Success,completed within budget,0.5087,3.0
run_0000022,agent_046,2026-02-20 04:07:08,summarization,Summarize these legal documents into a short brief,113,6,legal,Single-shot,gpt-4o-mini,True,213,18,code_exec;calendar;crm_lookup,11,4,3.07,922,117,1039,0.000208,2.0,0.3242,0.4782,0.5891,True,Success,goal satisfied,0.5003,4.0
run_0000023,agent_002,2026-01-23 13:35:53,data_analysis,Analyze the education data and summarize the main trends,22,4,education,Plan-and-Execute,gpt-4o,True,136,23,web_search;crm_lookup;email_send;rag_retrieve,2,1,1.48,1177,49,1226,0.003432,4.0,0.4773,0.4115,0.4845,True,Success,resolved on first attempt,0.4282,
run_0000024,agent_014,2026-03-01 13:58:00,extraction,Extract the structured fields from these education records,75,6,education,Single-shot,llama-3.3-70b,True,685,15,code_exec;rag_retrieve;chart_gen,5,1,1.31,1494,65,1559,0.000933,3.0,0.338,0.2799,0.8191,True,Success,completed within budget,0.3573,2.0
